Week,Take-out: (Brazil)
01/12/2019,19
08/12/2019,33
15/12/2019,24
22/12/2019,20
29/12/2019,25
05/01/2020,14
12/01/2020,28
19/01/2020,36
26/01/2020,29
02/02/2020,32
09/02/2020,20
16/02/2020,29
23/02/2020,32
01/03/2020,31
08/03/2020,28
15/03/2020,90
22/03/2020,82
29/03/2020,96
05/04/2020,73
12/04/2020,77
19/04/2020,51
26/04/2020,76
03/05/2020,73
10/05/2020,83
17/05/2020,59
24/05/2020,78
31/05/2020,71
07/06/2020,100
14/06/2020,66
21/06/2020,84
28/06/2020,96
05/07/2020,89
12/07/2020,82
19/07/2020,54
26/07/2020,69
02/08/2020,58
09/08/2020,56
16/08/2020,48
23/08/2020,43
30/08/2020,40
06/09/2020,48
13/09/2020,43
20/09/2020,42
27/09/2020,49
04/10/2020,57
11/10/2020,59
18/10/2020,35
25/10/2020,47
01/11/2020,48
08/11/2020,51
15/11/2020,31
22/11/2020,35
