Week,Take-out: (United Kingdom)
01/12/2019,39
08/12/2019,43
15/12/2019,45
22/12/2019,60
29/12/2019,62
05/01/2020,38
12/01/2020,40
19/01/2020,43
26/01/2020,41
02/02/2020,42
09/02/2020,44
16/02/2020,43
23/02/2020,41
01/03/2020,41
08/03/2020,37
15/03/2020,58
22/03/2020,100
29/03/2020,80
05/04/2020,70
12/04/2020,80
19/04/2020,72
26/04/2020,77
03/05/2020,68
10/05/2020,71
17/05/2020,75
24/05/2020,77
31/05/2020,72
07/06/2020,73
14/06/2020,73
21/06/2020,77
28/06/2020,71
05/07/2020,69
12/07/2020,69
19/07/2020,75
26/07/2020,75
02/08/2020,82
09/08/2020,78
16/08/2020,77
23/08/2020,76
30/08/2020,73
06/09/2020,67
13/09/2020,65
20/09/2020,71
27/09/2020,66
04/10/2020,59
11/10/2020,55
18/10/2020,57
25/10/2020,57
01/11/2020,68
08/11/2020,68
15/11/2020,63
22/11/2020,53
