Week,interest
05/01/2020,23
12/01/2020,23
19/01/2020,25
26/01/2020,23
02/02/2020,23
09/02/2020,25
16/02/2020,25
23/02/2020,24
01/03/2020,23
08/03/2020,25
15/03/2020,45
22/03/2020,61
29/03/2020,58
05/04/2020,64
12/04/2020,75
19/04/2020,82
26/04/2020,96
03/05/2020,100
10/05/2020,83
17/05/2020,72
24/05/2020,63
31/05/2020,55
07/06/2020,54
14/06/2020,50
21/06/2020,49
28/06/2020,47
05/07/2020,46
12/07/2020,47
19/07/2020,52
26/07/2020,50
02/08/2020,53
09/08/2020,54
16/08/2020,47
23/08/2020,45
30/08/2020,43
06/09/2020,42
13/09/2020,40
20/09/2020,42
27/09/2020,41
04/10/2020,39
11/10/2020,39
18/10/2020,40
25/10/2020,43
01/11/2020,43
08/11/2020,44
